sample_type,channel,replicate,mean_diameter,peak_diameter,sample_dilution,measurement_name,sample_volume,casyton_volume,measurement_volume,counts
ABB,4,1,2.0477,1.519,2,13,10,10000,200,2212
ABB,4,2,2.049,1.46,2,13,10,10000,200,2292
ABB,4,3,2.0726,1.616,2,13,10,10000,200,2407
ABB,5,1,2.1146,1.479,2,6,10,10000,200,570
ABB,5,2,2.0694,1.577,2,6,10,10000,200,625
ABB,5,3,2.1109,1.421,2,6,10,10000,200,689
ABB,7,1,1.9748000000000001,1.538,2,4,10,10000,200,788
ABB,7,2,1.9697,1.538,2,4,10,10000,200,796
ABB,7,3,1.965,1.606,2,4,10,10000,200,818
BBB,4,1,2.1149,1.802,50,12,10,10000,200,1521
BBB,4,2,2.1186,1.743,50,12,10,10000,200,1501
BBB,4,3,2.1046,1.89,50,12,10,10000,200,1489
BBB,5,1,1.8801,1.714,50,5,10,10000,200,2067
BBB,5,2,1.8858,1.626,50,5,10,10000,200,1864
BBB,5,3,1.8629,1.665,50,5,10,10000,200,1980
BBB,7,1,1.8475,1.694,50,3,10,10000,200,1550
BBB,7,2,1.8335,1.616,50,3,10,10000,200,1591
BBB,7,3,1.8504,1.626,50,3,10,10000,200,1596
MC,4,1,2.0732,1.782,1,11,10,10000,200,4644
MC,4,2,2.0593,1.753,1,11,10,10000,200,4581
MC,4,3,2.051,1.763,1,11,10,10000,200,4620
MC,5,1,1.864,1.694,1,7,10,10000,200,7256
MC,5,2,1.8685,1.714,1,7,10,10000,200,6956
MC,5,3,1.8623,1.675,1,7,10,10000,200,6988
MC,7,1,1.8124,1.606,1,2,10,10000,200,6352
MC,7,2,1.8073,1.616,1,2,10,10000,200,6343
MC,7,3,1.817,1.655,1,2,10,10000,200,6203
ABB,3,1,1.9788,1.558,2,6,10,10000,200,1297
ABB,3,2,1.9995,1.528,2,6,10,10000,200,1321
ABB,3,3,2.0019,1.577,2,6,10,10000,200,1319
ABB,8,1,1.9303,1.46,2,3,10,10000,200,643
ABB,8,2,2.0228,1.421,2,3,10,10000,200,620
ABB,8,3,1.9597,1.431,2,3,10,10000,200,595
BBB,3,1,2.004,1.724,50,5,10,10000,200,1042
BBB,3,2,1.9796,1.792,50,5,10,10000,200,1055
BBB,3,3,2.0049,1.851,50,5,10,10000,200,1004
BBB,8,1,1.852,1.86,50,2,10,10000,200,1652
BBB,8,2,1.8699,1.714,50,2,10,10000,200,1661
BBB,8,3,1.8635,1.724,50,2,10,10000,200,1688
MC,3,1,2.0073,1.792,1,4,10,10000,200,4246
MC,3,2,2.0157,1.743,1,4,10,10000,200,4225
MC,3,3,2.0111,1.802,1,4,10,10000,200,4300
MC,8,1,1.8531,1.675,1,1,10,10000,200,5853
MC,8,2,1.8673,1.685,1,1,10,10000,200,5836
MC,8,3,1.8504,1.714,1,1,10,10000,200,5893
ABB,1,1,2.0373,1.509,2,5,10,10000,200,6623
ABB,1,2,2.0472,1.47,2,5,10,10000,200,6567
ABB,1,3,2.0445,1.489,2,5,10,10000,200,6709
BBB,1,1,2.0537,1.841,50,6,10,10000,200,954
BBB,1,2,2.0209,1.802,50,6,10,10000,200,889
BBB,1,3,2.0337,1.782,50,6,10,10000,200,918
MC,1,1,2.0498,1.772,1,4,10,10000,200,4573
MC,1,2,2.0372,1.733,1,4,10,10000,200,4543
MC,1,3,2.0549,1.792,1,4,10,10000,200,4420
