well,cycle,ROX,SYBR,row,column,sample_id,replicate,sample_dilution,dilution_factor,sample_class,channel,template_vol,final_vol
1,1,115836.2969,73572.5312,A,1,200206_0_4,1,1,10,sample,4,5,20
1,2,117025.9688,74202.4219,A,1,200206_0_4,1,1,10,sample,4,5,20
1,3,117767.6484,74599.2344,A,1,200206_0_4,1,1,10,sample,4,5,20
1,4,118144.5781,74833.0938,A,1,200206_0_4,1,1,10,sample,4,5,20
1,5,118346.5078,75055.1406,A,1,200206_0_4,1,1,10,sample,4,5,20
1,6,118514.3828,75218.7422,A,1,200206_0_4,1,1,10,sample,4,5,20
1,7,118627.4141,75340.2812,A,1,200206_0_4,1,1,10,sample,4,5,20
1,8,118792.9453,75448.6484,A,1,200206_0_4,1,1,10,sample,4,5,20
1,9,118869.2344,75593.7578,A,1,200206_0_4,1,1,10,sample,4,5,20
1,10,118970.6328,75902.875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,11,119030.375,76558.6719,A,1,200206_0_4,1,1,10,sample,4,5,20
1,12,119089.6484,77954.1641,A,1,200206_0_4,1,1,10,sample,4,5,20
1,13,119088.0859,80707.6953,A,1,200206_0_4,1,1,10,sample,4,5,20
1,14,119097.0156,85971.2891,A,1,200206_0_4,1,1,10,sample,4,5,20
1,15,119039.7422,95861.9609,A,1,200206_0_4,1,1,10,sample,4,5,20
1,16,118826.3828,114211.8672,A,1,200206_0_4,1,1,10,sample,4,5,20
1,17,118343.1562,146991.0156,A,1,200206_0_4,1,1,10,sample,4,5,20
1,18,117457.1641,200499.1719,A,1,200206_0_4,1,1,10,sample,4,5,20
1,19,116016.5078,276938.2188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,20,113927.9297,368025.6562,A,1,200206_0_4,1,1,10,sample,4,5,20
1,21,111447.2266,457102.2812,A,1,200206_0_4,1,1,10,sample,4,5,20
1,22,109179.5625,528613.0625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,23,107511.1953,577421.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,24,106410.1719,607218.0625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,25,105595.0781,624828.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,26,105075.4766,635331.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,27,104741.7344,641843,A,1,200206_0_4,1,1,10,sample,4,5,20
1,28,104513.5625,645879.6875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,29,104373.8438,648394.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,30,104301.8438,649879.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,31,104239.1406,650785.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,32,104205.625,651216.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,33,104233.7188,651195,A,1,200206_0_4,1,1,10,sample,4,5,20
1,34,104340.8984,650589.375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,35,104432.3906,649709.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,36,104497.6875,648753.9375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,37,104470.2344,647891.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,38,104389.5078,646932.9375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,39,104425.6719,645789.25,A,1,200206_0_4,1,1,10,sample,4,5,20
1,40,104640.8438,644454.5625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,41,108806.7109,603488.5625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,42,109161.6875,583640,A,1,200206_0_4,1,1,10,sample,4,5,20
1,43,109462.1797,567511.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,44,109757.9219,555600.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,45,109928.3281,546360.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,46,110083.7734,539030.5625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,47,110259.6953,532947.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,48,110563.1953,527676.8125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,49,110741.5,522800.4062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,50,110799.9922,518449.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,51,110931.6484,514278.2188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,52,111053.6094,510420.375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,53,111147.2266,506625.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,54,111164.0469,502931.7188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,55,111339.6562,499028.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,56,111512.2969,495163.3438,A,1,200206_0_4,1,1,10,sample,4,5,20
1,57,111646.5469,491662.3438,A,1,200206_0_4,1,1,10,sample,4,5,20
1,58,111793.2891,488069.6875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,59,111955.6406,484527.7188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,60,112181.2969,480717.1562,A,1,200206_0_4,1,1,10,sample,4,5,20
1,61,112260.7812,477200.6562,A,1,200206_0_4,1,1,10,sample,4,5,20
1,62,112336.5547,473741.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,63,112376.2578,470528.2812,A,1,200206_0_4,1,1,10,sample,4,5,20
1,64,112555.0703,467262.4062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,65,112734.4688,463869.6875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,66,112846.4219,460327.25,A,1,200206_0_4,1,1,10,sample,4,5,20
1,67,112988.9453,456684.3438,A,1,200206_0_4,1,1,10,sample,4,5,20
1,68,113156.4922,453190.3125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,69,113326.4531,449918.9375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,70,113408.5547,446755.0938,A,1,200206_0_4,1,1,10,sample,4,5,20
1,71,113493.8359,443666.0625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,72,113541.5391,440616.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,73,113678.0391,437351.9688,A,1,200206_0_4,1,1,10,sample,4,5,20
1,74,113808.5938,433989.5625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,75,113981.7344,430625.25,A,1,200206_0_4,1,1,10,sample,4,5,20
1,76,114066.5156,427457.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,77,114183.5859,424232.9062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,78,114261.4531,421008.8125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,79,114449.5703,417580.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,80,114638.3828,414150.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,81,114684.6094,410745.9062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,82,114692.3984,407309.5312,A,1,200206_0_4,1,1,10,sample,4,5,20
1,83,114706.6641,404072.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,84,114786.5469,400807.8125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,85,114802.4609,397452.4688,A,1,200206_0_4,1,1,10,sample,4,5,20
1,86,114843.0703,393782.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,87,114926.9375,390407,A,1,200206_0_4,1,1,10,sample,4,5,20
1,88,115093.2734,387336,A,1,200206_0_4,1,1,10,sample,4,5,20
1,89,115234.2578,384246.25,A,1,200206_0_4,1,1,10,sample,4,5,20
1,90,115235.3828,380945.8438,A,1,200206_0_4,1,1,10,sample,4,5,20
1,91,115328.8672,377624.3125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,92,115442.2656,374561.9062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,93,115591.9219,371638.6875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,94,115687.7344,368403.2188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,95,115761.4531,364830.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,96,115780.8047,361305.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,97,115762.5625,357943.9062,A,1,200206_0_4,1,1,10,sample,4,5,20
1,98,115933.5234,354555.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,99,116102.5781,351116.5625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,100,116211.875,347808.0312,A,1,200206_0_4,1,1,10,sample,4,5,20
1,101,116177.6719,344508.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,102,116291.9453,340932.0938,A,1,200206_0_4,1,1,10,sample,4,5,20
1,103,116440.25,337172.75,A,1,200206_0_4,1,1,10,sample,4,5,20
1,104,116486.0547,333640.9375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,105,116580.8516,330154.25,A,1,200206_0_4,1,1,10,sample,4,5,20
1,106,116755.2109,326443.5312,A,1,200206_0_4,1,1,10,sample,4,5,20
1,107,116835.8125,322803.6875,A,1,200206_0_4,1,1,10,sample,4,5,20
1,108,116861.5391,319026.5,A,1,200206_0_4,1,1,10,sample,4,5,20
1,109,117062.5391,314339.7188,A,1,200206_0_4,1,1,10,sample,4,5,20
1,110,117495.1016,307835.3438,A,1,200206_0_4,1,1,10,sample,4,5,20
1,111,118124.7344,297751.625,A,1,200206_0_4,1,1,10,sample,4,5,20
1,112,119049.1406,281320.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,113,120531.7188,253969.7969,A,1,200206_0_4,1,1,10,sample,4,5,20
1,114,122528.3516,209625.125,A,1,200206_0_4,1,1,10,sample,4,5,20
1,115,123423.5859,156082.0781,A,1,200206_0_4,1,1,10,sample,4,5,20
1,116,122533.4609,110066.4844,A,1,200206_0_4,1,1,10,sample,4,5,20
1,117,120598.4922,84336.3672,A,1,200206_0_4,1,1,10,sample,4,5,20
1,118,119350.2344,73213.3594,A,1,200206_0_4,1,1,10,sample,4,5,20
1,119,118724.1016,68669.9922,A,1,200206_0_4,1,1,10,sample,4,5,20
1,120,118516.9141,65519.7344,A,1,200206_0_4,1,1,10,sample,4,5,20
1,121,118465.7188,62573.8203,A,1,200206_0_4,1,1,10,sample,4,5,20
1,122,118545.3672,59320.5312,A,1,200206_0_4,1,1,10,sample,4,5,20
1,123,118557.0156,55848.8594,A,1,200206_0_4,1,1,10,sample,4,5,20
1,124,118386.8672,52992.0352,A,1,200206_0_4,1,1,10,sample,4,5,20
1,125,118199.4766,51292.1367,A,1,200206_0_4,1,1,10,sample,4,5,20
1,126,118114.3672,50309.2031,A,1,200206_0_4,1,1,10,sample,4,5,20
1,127,118048.1328,49466.2148,A,1,200206_0_4,1,1,10,sample,4,5,20
1,128,117945.5078,48745.7734,A,1,200206_0_4,1,1,10,sample,4,5,20
1,129,117898.5859,47996.2227,A,1,200206_0_4,1,1,10,sample,4,5,20
1,130,117923.8906,47087.4805,A,1,200206_0_4,1,1,10,sample,4,5,20
1,131,117983.8359,46079.6523,A,1,200206_0_4,1,1,10,sample,4,5,20
1,132,117920.8125,45182.7148,A,1,200206_0_4,1,1,10,sample,4,5,20
1,133,117791.5781,44194.5195,A,1,200206_0_4,1,1,10,sample,4,5,20
1,134,117753.5156,43004.6797,A,1,200206_0_4,1,1,10,sample,4,5,20
1,135,117833.9766,41439.8867,A,1,200206_0_4,1,1,10,sample,4,5,20
1,136,117888.8828,39416.4375,A,1,200206_0_4,1,1,10,sample,4,5,20
1,137,117880.8438,36840.0742,A,1,200206_0_4,1,1,10,sample,4,5,20
1,138,117837.5391,34251.6406,A,1,200206_0_4,1,1,10,sample,4,5,20
1,139,117697.2422,32015.4551,A,1,200206_0_4,1,1,10,sample,4,5,20
1,140,117570.2109,30244.207,A,1,200206_0_4,1,1,10,sample,4,5,20
1,141,117478.0625,28532.4414,A,1,200206_0_4,1,1,10,sample,4,5,20
1,142,117153.3438,26645.6035,A,1,200206_0_4,1,1,10,sample,4,5,20
1,143,116813.5859,25521.0215,A,1,200206_0_4,1,1,10,sample,4,5,20
1,144,116694.4453,25727.9395,A,1,200206_0_4,1,1,10,sample,4,5,20
2,1,156056.4844,88845.1953,A,2,200206_2_7,1,1,10,sample,5,5,20
2,2,156641.4219,89926.0312,A,2,200206_2_7,1,1,10,sample,5,5,20
2,3,156978.8438,90487.7734,A,2,200206_2_7,1,1,10,sample,5,5,20
2,4,157125.2656,90558.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,5,157276.7031,90708.2188,A,2,200206_2_7,1,1,10,sample,5,5,20
2,6,157524.0625,90788.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,7,157683.4688,90951.4688,A,2,200206_2_7,1,1,10,sample,5,5,20
2,8,157678.625,91238.2266,A,2,200206_2_7,1,1,10,sample,5,5,20
2,9,157670.3281,91963.2422,A,2,200206_2_7,1,1,10,sample,5,5,20
2,10,157681.6875,93405.0703,A,2,200206_2_7,1,1,10,sample,5,5,20
2,11,157735.125,96328.3359,A,2,200206_2_7,1,1,10,sample,5,5,20
2,12,157716.3281,102053.8359,A,2,200206_2_7,1,1,10,sample,5,5,20
2,13,157598.1406,113105.1328,A,2,200206_2_7,1,1,10,sample,5,5,20
2,14,157323.7188,134059.9688,A,2,200206_2_7,1,1,10,sample,5,5,20
2,15,156835.0625,171827.5781,A,2,200206_2_7,1,1,10,sample,5,5,20
