gene_name,ncbi_id 
pstB1,BAA10338.1
slr1403,BAA17634.1
pstA1,BAA10339.1
pstC1,BAA10340.1
sphX,BAA10342.1
pstB2,BAA17840.1
pstA2,BAA17839.1
sll0654,BAA16956.1
pstC2,BAA17838.1
pstS2,BAA17837.1
pstS1,BAA10341.1
nucH,BAA16955.1
sll0723,BAA18763.1
sll0594,BAA10610.1
pstB1-pr,BAA10337.1
sll0721,BAA18765.1
ppk,BAA10660.1
sll0722,BAA18764.1
sll1291,BAA17202.1
sll0685,BAA10336.1
hlyB,BAA18265.1
sll1552,BAA18767.1
slr1593,BAA16989.1
gap1,BAA17609.1
sll1292,BAA17201.1
hisI,BAA18875.1
sll0595,BAA10609.1
sll1293,BAA17200.1
slr0096,BAA10568.1
sll1483,BAA18723.1
ndbA,BAA17787.1
slr1444,BAA17556.1
slr6042,BAD02099.1
slr6039,BAD02096.1
slr0364,BAA10087.1
slr0640,BAA10359.1
sll5123,BAD01893.1
sll0720,BAA18766.1
sll0789,BAA10709.1
