




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
toxin metabolic process (GO:0009404)	1	1	.01	+	 > 100	1.66E-02	1.00E00
polyphosphate biosynthetic process (GO:0006799)	1	1	.01	+	 > 100	1.66E-02	1.00E00
DNA catabolic process (GO:0006308)	1	1	.01	+	 > 100	1.66E-02	1.00E00
protein secretion by the type I secretion system (GO:0030253)	1	1	.01	+	 > 100	1.66E-02	1.00E00
protein acylation (GO:0043543)	2	1	.02	+	59.45	2.48E-02	1.00E00
N-terminal protein amino acid acetylation (GO:0006474)	2	1	.02	+	59.45	2.48E-02	1.00E00
protein acetylation (GO:0006473)	2	1	.02	+	59.45	2.48E-02	1.00E00
polyphosphate metabolic process (GO:0006797)	2	1	.02	+	59.45	2.48E-02	1.00E00
succinate transport (GO:0015744)	2	1	.02	+	59.45	2.48E-02	1.00E00
fumarate transport (GO:0015741)	2	1	.02	+	59.45	2.48E-02	1.00E00
L-aspartate transmembrane transport (GO:0070778)	2	1	.02	+	59.45	2.48E-02	1.00E00
secondary metabolic process (GO:0019748)	2	1	.02	+	59.45	2.48E-02	1.00E00
succinate transmembrane transport (GO:0071422)	2	1	.02	+	59.45	2.48E-02	1.00E00
N-terminal peptidyl-alanine acetylation (GO:0017189)	2	1	.02	+	59.45	2.48E-02	9.90E-01
peptidyl-alanine modification (GO:0018194)	2	1	.02	+	59.45	2.48E-02	9.70E-01
phosphate ion transmembrane transport (GO:0035435)	5	2	.04	+	47.56	1.37E-03	6.44E-01
C4-dicarboxylate transport (GO:0015740)	3	1	.03	+	39.63	3.30E-02	1.00E00
N-terminal protein amino acid modification (GO:0031365)	3	1	.03	+	39.63	3.30E-02	1.00E00
phosphate ion transport (GO:0006817)	7	2	.06	+	33.97	2.33E-03	8.75E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	5	1	.04	+	23.78	4.90E-02	1.00E00
inorganic anion transmembrane transport (GO:0098661)	15	3	.13	+	23.78	3.92E-04	3.67E-01
dicarboxylic acid transport (GO:0006835)	6	1	.05	+	19.82	5.70E-02	1.00E00
nucleotide catabolic process (GO:0009166)	7	1	.06	+	16.99	6.49E-02	1.00E00
anion transmembrane transport (GO:0098656)	21	3	.18	+	16.99	9.39E-04	5.87E-01
L-amino acid transport (GO:0015807)	7	1	.06	+	16.99	6.49E-02	1.00E00
amino acid transmembrane transport (GO:0003333)	8	1	.07	+	14.86	7.27E-02	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	8	1	.07	+	14.86	7.27E-02	1.00E00
organic acid transmembrane transport (GO:1903825)	9	1	.08	+	13.21	8.04E-02	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	9	1	.08	+	13.21	8.04E-02	1.00E00
sulfate transmembrane transport (GO:1902358)	9	1	.08	+	13.21	8.04E-02	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	19	2	.16	+	12.52	1.28E-02	1.00E00
positive regulation of nucleic acid-templated transcription (GO:1903508)	19	2	.16	+	12.52	1.28E-02	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	19	2	.16	+	12.52	1.28E-02	1.00E00
positive regulation of transcription, DNA-templated (GO:0045893)	19	2	.16	+	12.52	1.28E-02	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	19	2	.16	+	12.52	1.28E-02	1.00E00
taxis (GO:0042330)	10	1	.08	+	11.89	8.81E-02	1.00E00
chemotaxis (GO:0006935)	10	1	.08	+	11.89	8.81E-02	1.00E00
locomotion (GO:0040011)	10	1	.08	+	11.89	8.81E-02	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	20	2	.17	+	11.89	1.40E-02	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	21	2	.18	+	11.32	1.52E-02	1.00E00
positive regulation of biosynthetic process (GO:0009891)	21	2	.18	+	11.32	1.52E-02	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	21	2	.18	+	11.32	1.52E-02	1.00E00
organic anion transport (GO:0015711)	11	1	.09	+	10.81	9.58E-02	1.00E00
carboxylic acid transport (GO:0046942)	11	1	.09	+	10.81	9.58E-02	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	23	2	.19	+	10.34	1.79E-02	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	23	2	.19	+	10.34	1.79E-02	1.00E00
positive regulation of metabolic process (GO:0009893)	23	2	.19	+	10.34	1.79E-02	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	23	2	.19	+	10.34	1.79E-02	1.00E00
secretion by cell (GO:0032940)	12	1	.10	+	9.91	1.03E-01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	12	1	.10	+	9.91	1.03E-01	1.00E00
export from cell (GO:0140352)	12	1	.10	+	9.91	1.03E-01	1.00E00
protein secretion (GO:0009306)	12	1	.10	+	9.91	1.03E-01	1.00E00
glucose metabolic process (GO:0006006)	12	1	.10	+	9.91	1.03E-01	1.00E00
positive regulation of cellular process (GO:0048522)	24	2	.20	+	9.91	1.93E-02	1.00E00
positive regulation of biological process (GO:0048518)	24	2	.20	+	9.91	1.93E-02	1.00E00
secretion (GO:0046903)	12	1	.10	+	9.91	1.03E-01	1.00E00
protein localization to extracellular region (GO:0071692)	12	1	.10	+	9.91	1.03E-01	1.00E00
SOS response (GO:0009432)	13	1	.11	+	9.15	1.11E-01	1.00E00
cell adhesion (GO:0007155)	13	1	.11	+	9.15	1.11E-01	1.00E00
biological adhesion (GO:0022610)	13	1	.11	+	9.15	1.11E-01	1.00E00
inorganic anion transport (GO:0015698)	39	3	.33	+	9.15	4.81E-03	1.00E00
aromatic compound catabolic process (GO:0019439)	27	2	.23	+	8.81	2.37E-02	1.00E00
heterocycle catabolic process (GO:0046700)	27	2	.23	+	8.81	2.37E-02	1.00E00
sulfate transport (GO:0008272)	14	1	.12	+	8.49	1.18E-01	1.00E00
protein transmembrane transport (GO:0071806)	14	1	.12	+	8.49	1.18E-01	1.00E00
response to extracellular stimulus (GO:0009991)	14	1	.12	+	8.49	1.18E-01	1.00E00
cellular response to external stimulus (GO:0071496)	14	1	.12	+	8.49	1.18E-01	1.00E00
hexose metabolic process (GO:0019318)	14	1	.12	+	8.49	1.18E-01	1.00E00
cellular response to extracellular stimulus (GO:0031668)	14	1	.12	+	8.49	1.18E-01	1.00E00
ATP generation from ADP (GO:0006757)	15	1	.13	+	7.93	1.26E-01	1.00E00
organophosphate catabolic process (GO:0046434)	15	1	.13	+	7.93	1.26E-01	1.00E00
lipid localization (GO:0010876)	15	1	.13	+	7.93	1.26E-01	1.00E00
glycolytic process (GO:0006096)	15	1	.13	+	7.93	1.26E-01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	30	2	.25	+	7.93	2.85E-02	1.00E00
ADP metabolic process (GO:0046031)	15	1	.13	+	7.93	1.26E-01	1.00E00
lipid transport (GO:0006869)	15	1	.13	+	7.93	1.26E-01	1.00E00
