ncbi_id,gene_name,gene_id
BAA16580.1,slr0612,slr0612
BAA16581.1,slr0613,slr0613
BAA16582.1,sll0558,sll0558
BAA16583.1,sll1214,sll1214
BAA16584.1,sll1213,sll1213
BAA16585.1,rfbD,sll1212
BAA16586.1,psbA2,slr1311
BAA16587.1,speA,slr1312
BAA16588.1,lig,sll1209
BAA16589.1,slr1315,slr1315
BAA16590.1,fecC,slr1316
BAA16591.1,fecD,slr1317
BAA16592.1,fecE,slr1318
BAA16593.1,fecB,slr1319
BAA16594.1,iutA,sll1206
BAA16595.1,pchR,sll1205
BAA16596.1,sll1204,sll1204
BAA16597.1,sll1203,sll1203
BAA16598.1,sll1202,sll1202
BAA16599.1,fhuA,sll1409
BAA16600.1,pcrR,sll1408
BAA16601.1,sll1407,sll1407
BAA16602.1,fhuA,sll1406
BAA16603.1,sll1405,sll1405
BAA16604.1,exbB,sll1404
BAA16605.1,slr1484,slr1484
BAA16606.1,slr1485,slr1485
BAA16607.1,slr1488,slr1488
BAA16608.1,pchR,slr1489
BAA16609.1,fhuA,slr1490
BAA16610.1,fecB,slr1491
BAA16611.1,fecB,slr1492
BAA16612.1,slr1493,slr1493
BAA16613.1,slr1494,slr1494
BAA16614.1,sll1401,sll1401
BAA16615.1,sll1400,sll1400
BAA16616.1,ssl2733,ssl2733
BAA16617.1,sll1399,sll1399
BAA16618.1,psb13,sll1398
BAA16619.1,slr1495,slr1495
BAA16620.1,sll1397,sll1397
BAA16621.1,sll1396,sll1396
BAA16622.1,hypD,slr1498
BAA16623.1,rfbD,sll1395
BAA16624.1,msrA,sll1394
BAA16625.1,glgA,sll1393
BAA16626.1,sll1392,sll1392
BAA16627.1,slr1501,slr1501
BAA16628.1,slr1113,slr1113
BAA16629.1,slr1114,slr1114
BAA16630.1,slr1115,slr1115
BAA16631.1,slr1116,slr1116
BAA16632.1,slr1117,slr1117
BAA16633.1,sll1064,sll1064
BAA16634.1,rffM,slr1118
BAA16635.1,sll1063,sll1063
BAA16636.1,slr1119,slr1119
BAA16637.1,sll1062,sll1062
BAA16638.1,sll1061,sll1061
BAA16639.1,sll1060,sll1060
BAA16640.1,ssl2069,ssl2069
BAA16641.1,ssr1853,ssr1853
BAA16642.1,hofD,slr1120
BAA16643.1,adk2,sll1059
BAA16644.1,dapB,sll1058
BAA16645.1,trx,sll1057
BAA16646.1,purL,sll1056
BAA16647.1,slr1122,slr1122
BAA16648.1,sll1054,sll1054
BAA16649.1,sll1053,sll1053
BAA16650.1,gmk,slr1123
BAA16651.1,gpmB,slr1124
BAA16652.1,crtX,slr1125
BAA16653.1,sll1052,sll1052
BAA16654.1,cpcF,sll1051
BAA16655.1,sll1049,sll1049
BAA16656.1,slr1127,slr1127
BAA16657.1,slr1128,slr1128
BAA16658.1,rne,slr1129
BAA16659.1,rhnB,slr1130
BAA16660.1,mutT,sll1045
