gene,counts,sequence_id
BAA10018.2,345,S01
BAA10019.1,293,S01
BAA10020.1,1244,S01
BAA10021.1,305,S01
BAA10022.1,2079,S01
BAA10023.1,690,S01
BAA10024.1,210,S01
BAA10025.1,78,S01
BAA10026.1,217,S01
BAA10027.1,125,S01
BAA10028.1,318,S01
BAA10029.1,645,S01
BAA10030.1,70,S01
BAA10031.1,107,S01
BAA10032.1,556,S01
BAA10033.1,673,S01
BAA10034.1,384,S01
BAA10035.1,185,S01
BAA10036.1,8882,S01
BAA10037.1,3353,S01
BAA10038.1,296,S01
BAA10039.1,280,S01
BAA10040.1,1095,S01
BAA10041.1,59,S01
BAA10042.1,20519,S01
BAA10043.1,631,S01
BAA10044.1,348,S01
BAA10045.1,303,S01
BAA10046.1,857,S01
BAA10047.1,626,S01
BAA10048.1,682,S01
BAA10049.1,523,S01
BAA10050.1,678,S01
BAA10051.1,316,S01
BAA10052.1,383,S01
BAA10053.1,194,S01
BAA10054.1,282,S01
BAA10055.1,306,S01
BAA10056.1,533,S01
BAA10057.1,367,S01
BAA10058.1,218,S01
BAA10059.1,15907,S01
BAA10060.1,2813,S01
BAA10061.1,219,S01
BAA10062.1,210,S01
BAA10063.1,544,S01
BAA10064.1,1402,S01
BAA10065.1,132,S01
BAA10066.1,81,S01
BAA10067.1,12,S01
BAA10068.1,1,S01
BAA10069.1,2,S01
BAA10070.1,266,S01
BAA10071.1,296,S01
BAA10072.1,384,S01
BAA10073.1,2606,S01
BAA10074.1,203,S01
BAA10075.1,460,S01
BAA10076.1,120,S01
BAA10077.1,274,S01
BAA10078.1,1338,S01
BAA10079.1,1254,S01
BAA10080.1,535,S01
BAA10081.1,714,S01
BAA10082.1,276,S01
BAA10083.1,251,S01
BAA10084.1,1065,S01
BAA10085.1,2228,S01
BAA10086.1,79,S01
BAA10087.1,1003,S01
BAA10088.1,776,S01
BAA10089.1,3875,S01
BAA10090.1,1221,S01
BAA10091.1,258,S01
BAA10092.1,507,S01
BAA10093.1,140,S01
BAA10094.1,3670,S01
BAA10095.1,8015,S01
BAA10096.1,2280,S01
BAA10097.1,540,S01
BAA10098.1,454,S01
BAA10099.1,198,S01
BAA10100.1,376,S01
BAA10101.1,220,S01
BAA10102.1,185,S01
BAA10103.1,78,S01
BAA10104.1,472,S01
BAA10105.1,6960,S01
BAA10106.1,13,S01
BAA10107.1,39,S01
BAA10108.1,270,S01
BAA10109.1,95,S01
BAA10110.1,43,S01
BAA10111.1,983,S01
BAA10112.1,97,S01
BAA10113.1,45,S01
BAA10114.1,3719,S01
BAA10115.1,736,S01
BAA10116.1,234,S01
BAA10117.1,927,S01
BAA10118.1,690,S01
BAA10119.1,473,S01
BAA10120.1,690,S01
BAA10121.1,2431,S01
BAA10122.1,1085,S01
BAA10123.1,269,S01
BAA10124.1,275,S01
BAA10125.1,351,S01
BAA10126.1,204,S01
BAA10127.1,245,S01
BAA10128.1,401,S01
BAA10129.1,1195,S01
BAA10130.1,490,S01
BAA10131.1,119,S01
BAA10132.1,744,S01
BAA10133.1,1946,S01
BAA10134.1,800,S01
BAA10135.1,151,S01
BAA10136.1,312,S01
BAA10137.1,556,S01
BAA10138.1,199,S01
